,car_model,year_of_manufacture,price,fuel,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,alto k10,2016,4253.731343283582,Petrol,,,
1,ignis,2017,7313.432835820897,Petrol,,,
2,sx4,2011,6567.164179104479,Petrol,,,
3,alto k10,2014,3731.3432835820895,Petrol,,,
4,wagon r,2013,4328.358208955224,Petrol,,,
5,swift,2011,4477.611940298508,Petrol,,,
6,swift,2013,6194.029850746269,Petrol,,,
7,swift,2017,8955.223880597016,Petrol,,,
8,alto k10,2010,2910.4477611940297,Petrol,,,
9,ciaz,2015,11119.402985074626,Diesel,,,
10,alto k10,2016,4253.731343283582,Petrol,0.0,,
11,ignis,2017,7313.432835820897,Petrol,1.0,,
12,sx4,2011,6567.164179104479,Petrol,2.0,,
13,alto k10,2014,3731.3432835820895,Petrol,3.0,,
14,wagon r,2013,4328.358208955224,Petrol,4.0,,
15,swift,2011,4477.611940298508,Petrol,5.0,,
16,swift,2013,6194.029850746269,Petrol,6.0,,
17,swift,2017,8955.223880597016,Petrol,7.0,,
18,alto k10,2010,2910.4477611940297,Petrol,8.0,,
19,ciaz,2015,11119.402985074626,Diesel,9.0,,
20,alto k10,2016,2.0,Petrol,10.0,0.0,
21,ignis,2017,2.0,Petrol,11.0,1.0,
22,sx4,2011,2.0,Petrol,12.0,2.0,
23,alto k10,2014,2.0,Petrol,13.0,3.0,
24,wagon r,2013,2.0,Petrol,14.0,4.0,
25,swift,2011,2.0,Petrol,15.0,5.0,
26,swift,2013,2.0,Petrol,16.0,6.0,
27,swift,2017,2.0,Petrol,17.0,7.0,
28,alto k10,2010,2.0,Petrol,18.0,8.0,
29,ciaz,2015,2.0,Diesel,19.0,9.0,
30,alto k10,2016,2.0,Petrol,20.0,10.0,0.0
31,ignis,2017,2.0,Petrol,21.0,11.0,1.0
32,sx4,2011,2.0,Petrol,22.0,12.0,2.0
33,alto k10,2014,2.0,Petrol,23.0,13.0,3.0
34,wagon r,2013,2.0,Petrol,24.0,14.0,4.0
35,swift,2011,2.0,Petrol,25.0,15.0,5.0
36,swift,2013,2.0,Petrol,26.0,16.0,6.0
37,swift,2017,2.0,Petrol,27.0,17.0,7.0
38,alto k10,2010,2.0,Petrol,28.0,18.0,8.0
39,ciaz,2015,2.0,Diesel,29.0,19.0,9.0
40,ritz,2014,2.0,Petrol,30.0,20.0,10.0
41,sx4,2013,2.0,Diesel,31.0,21.0,11.0
42,ciaz,2017,2.0,Petrol,32.0,22.0,12.0
43,wagon r,2011,2.0,Petrol,33.0,23.0,13.0
44,swift,2014,2.0,Diesel,34.0,24.0,14.0
45,vitara brezza,2018,2.0,Diesel,35.0,25.0,15.0
46,ciaz,2015,2.0,Petrol,36.0,26.0,16.0
47,s cross,2015,2.0,Diesel,37.0,27.0,17.0
48,ciaz,2016,2.0,Diesel,38.0,28.0,18.0
49,ciaz,2015,2.0,Diesel,39.0,29.0,19.0
50,alto 800,2017,2.0,Petrol,40.0,30.0,20.0
51,ciaz,2015,2.0,Diesel,41.0,31.0,21.0
52,ciaz,2015,2.0,Petrol,42.0,32.0,22.0
53,ertiga,2015,2.0,Petrol,43.0,33.0,23.0
54,dzire,2009,2.0,Petrol,44.0,34.0,24.0
55,ertiga,2016,2.0,Diesel,45.0,35.0,25.0
56,ertiga,2015,2.0,Diesel,46.0,36.0,26.0
57,ertiga,2016,2.0,Diesel,47.0,37.0,27.0
58,wagon r,2015,2.0,CNG,48.0,38.0,28.0
59,sx4,2010,2.0,Petrol,49.0,39.0,29.0
60,etios liva,2014,2.0,Diesel,50.0,40.0,30.0
61,corolla altis,2011,2.0,Diesel,51.0,41.0,31.0
62,corolla altis,2013,2.0,Petrol,52.0,42.0,32.0
63,etios liva,2011,2.0,Petrol,53.0,43.0,33.0
64,etios cross,2014,2.0,Diesel,54.0,44.0,34.0
65,etios g,2015,2.0,Petrol,55.0,45.0,35.0
66,corolla altis,2013,2.0,Petrol,56.0,46.0,36.0
67,corolla,2004,2.0,Petrol,57.0,47.0,37.0
68,corolla altis,2010,2.0,Petrol,58.0,48.0,38.0
69,fortuner,2012,2.0,Diesel,59.0,49.0,39.0
70,corolla altis,2016,2.0,Diesel,60.0,50.0,40.0
71,etios gd,2015,2.0,Diesel,61.0,51.0,41.0
72,innova,2017,2.0,Diesel,62.0,52.0,42.0
73,innova,2015,2.0,Diesel,63.0,53.0,43.0
74,innova,2005,2.0,Diesel,64.0,54.0,44.0
75,camry,2006,2.0,Petrol,65.0,55.0,45.0
76,land cruiser,2010,2.0,Diesel,66.0,56.0,46.0
77,corolla altis,2012,2.0,Petrol,67.0,57.0,47.0
78,etios liva,2013,2.0,Petrol,68.0,58.0,48.0
79,etios g,2014,2.0,Petrol,69.0,59.0,49.0
80,corolla altis,2013,2.0,Petrol,70.0,60.0,50.0
81,etios cross,2015,2.0,Petrol,71.0,61.0,51.0
82,fortuner,2014,2.0,Diesel,72.0,62.0,52.0
83,fortuner,2015,2.0,Diesel,73.0,63.0,53.0
84,fortuner,2017,2.0,Diesel,74.0,64.0,54.0
85,etios liva,2014,2.0,Diesel,75.0,65.0,55.0
86,innova,2017,2.0,Petrol,76.0,66.0,56.0
87,fortuner,2010,2.0,Diesel,77.0,67.0,57.0
88,corolla altis,2011,2.0,Petrol,78.0,68.0,58.0
89,corolla altis,2016,2.0,Petrol,79.0,69.0,59.0
90,ritz,2014,2.0,Petrol,80.0,70.0,
91,sx4,2013,2.0,Diesel,81.0,71.0,
92,ciaz,2017,2.0,Petrol,82.0,72.0,
93,wagon r,2011,2.0,Petrol,83.0,73.0,
94,swift,2014,2.0,Diesel,84.0,74.0,
95,vitara brezza,2018,2.0,Diesel,85.0,75.0,
96,ciaz,2015,2.0,Petrol,86.0,76.0,
97,s cross,2015,2.0,Diesel,87.0,77.0,
98,ciaz,2016,2.0,Diesel,88.0,78.0,
99,ciaz,2015,2.0,Diesel,89.0,79.0,
100,alto 800,2017,2.0,Petrol,90.0,80.0,
101,ciaz,2015,2.0,Diesel,91.0,81.0,
102,ciaz,2015,2.0,Petrol,92.0,82.0,
103,ertiga,2015,2.0,Petrol,93.0,83.0,
104,dzire,2009,2.0,Petrol,94.0,84.0,
105,ertiga,2016,2.0,Diesel,95.0,85.0,
106,ertiga,2015,2.0,Diesel,96.0,86.0,
107,ertiga,2016,2.0,Diesel,97.0,87.0,
108,wagon r,2015,2.0,CNG,98.0,88.0,
109,sx4,2010,2.0,Petrol,99.0,89.0,
110,etios liva,2014,2.0,Diesel,100.0,90.0,
111,corolla altis,2011,2.0,Diesel,101.0,91.0,
112,corolla altis,2013,2.0,Petrol,102.0,92.0,
113,etios liva,2011,2.0,Petrol,103.0,93.0,
114,etios cross,2014,2.0,Diesel,104.0,94.0,
115,etios g,2015,2.0,Petrol,105.0,95.0,
116,corolla altis,2013,2.0,Petrol,106.0,96.0,
117,corolla,2004,2.0,Petrol,107.0,97.0,
118,corolla altis,2010,2.0,Petrol,108.0,98.0,
119,fortuner,2012,2.0,Diesel,109.0,99.0,
120,corolla altis,2016,2.0,Diesel,110.0,100.0,
121,etios gd,2015,2.0,Diesel,111.0,101.0,
122,innova,2017,2.0,Diesel,112.0,102.0,
123,innova,2015,2.0,Diesel,113.0,103.0,
124,innova,2005,2.0,Diesel,114.0,104.0,
125,camry,2006,2.0,Petrol,115.0,105.0,
126,land cruiser,2010,2.0,Diesel,116.0,106.0,
127,corolla altis,2012,2.0,Petrol,117.0,107.0,
128,etios liva,2013,2.0,Petrol,118.0,108.0,
129,etios g,2014,2.0,Petrol,119.0,109.0,
130,corolla altis,2013,2.0,Petrol,120.0,110.0,
131,etios cross,2015,2.0,Petrol,121.0,111.0,
132,fortuner,2014,2.0,Diesel,122.0,112.0,
133,fortuner,2015,2.0,Diesel,123.0,113.0,
134,fortuner,2017,2.0,Diesel,124.0,114.0,
135,etios liva,2014,2.0,Diesel,125.0,115.0,
136,innova,2017,2.0,Petrol,126.0,116.0,
137,fortuner,2010,2.0,Diesel,127.0,117.0,
138,corolla altis,2011,2.0,Petrol,128.0,118.0,
139,corolla altis,2016,2.0,Petrol,129.0,119.0,
140,ritz,2014,5000.0,Petrol,130.0,,
141,sx4,2013,7089.55223880597,Diesel,131.0,,
142,ciaz,2017,10820.89552238806,Petrol,132.0,,
143,wagon r,2011,4253.731343283582,Petrol,133.0,,
144,swift,2014,6865.671641791044,Diesel,134.0,,
145,vitara brezza,2018,13805.970149253732,Diesel,135.0,,
146,ciaz,2015,10074.626865671642,Petrol,136.0,,
147,s cross,2015,9701.492537313432,Diesel,137.0,,
148,ciaz,2016,13059.701492537311,Diesel,138.0,,
149,ciaz,2015,11119.402985074626,Diesel,139.0,,
150,alto 800,2017,4253.731343283582,Petrol,140.0,,
151,ciaz,2015,10223.880597014926,Diesel,141.0,,
152,ciaz,2015,11194.029850746268,Petrol,142.0,,
153,ertiga,2015,9104.477611940298,Petrol,143.0,,
154,dzire,2009,3358.208955223881,Petrol,144.0,,
155,ertiga,2016,11567.164179104477,Diesel,145.0,,
156,ertiga,2015,10820.89552238806,Diesel,146.0,,
157,ertiga,2016,11567.164179104477,Diesel,147.0,,
158,wagon r,2015,4850.746268656716,CNG,148.0,,
159,sx4,2010,3955.223880597015,Petrol,149.0,,
160,etios liva,2014,5895.522388059701,Diesel,150.0,,
161,corolla altis,2011,6716.417910447762,Diesel,151.0,,
162,corolla altis,2013,11119.402985074626,Petrol,152.0,,
163,etios liva,2011,3955.223880597015,Petrol,153.0,,
164,etios cross,2014,7313.432835820897,Diesel,154.0,,
165,etios g,2015,5895.522388059701,Petrol,155.0,,
166,corolla altis,2013,8208.955223880597,Petrol,156.0,,
167,corolla,2004,2238.805970149254,Petrol,157.0,,
168,corolla altis,2010,7835.820895522388,Petrol,158.0,,
169,fortuner,2012,21641.79104477612,Diesel,159.0,,
170,corolla altis,2016,21985.074626865677,Diesel,160.0,,
171,etios gd,2015,7089.55223880597,Diesel,161.0,,
172,innova,2017,34328.35820895522,Diesel,162.0,,
173,innova,2015,18656.716417910447,Diesel,163.0,,
174,innova,2005,5208.955223880597,Diesel,164.0,,
175,camry,2006,3731.3432835820895,Petrol,165.0,,
176,land cruiser,2010,52238.80597014925,Diesel,166.0,,
177,corolla altis,2012,8805.970149253732,Petrol,167.0,,
178,etios liva,2013,5149.253731343284,Petrol,168.0,,
179,etios g,2014,7089.55223880597,Petrol,169.0,,
180,corolla altis,2013,10373.134328358208,Petrol,170.0,,
181,etios cross,2015,6716.417910447762,Petrol,171.0,,
182,fortuner,2014,27985.074626865677,Diesel,172.0,,
183,fortuner,2015,35074.62686567164,Diesel,173.0,,
184,fortuner,2017,49253.73134328358,Diesel,174.0,,
185,etios liva,2014,7089.55223880597,Diesel,175.0,,
186,innova,2017,29477.611940298502,Petrol,176.0,,
187,fortuner,2010,13805.970149253732,Diesel,177.0,,
188,corolla altis,2011,6492.537313432835,Petrol,178.0,,
189,corolla altis,2016,21268.65671641791,Petrol,179.0,,
190,ritz,2014,5000.0,Petrol,,,
191,sx4,2013,7089.55223880597,Diesel,,,
192,ciaz,2017,10820.89552238806,Petrol,,,
193,wagon r,2011,4253.731343283582,Petrol,,,
194,swift,2014,6865.671641791044,Diesel,,,
195,vitara brezza,2018,13805.970149253732,Diesel,,,
196,ciaz,2015,10074.626865671642,Petrol,,,
197,s cross,2015,9701.492537313432,Diesel,,,
198,ciaz,2016,13059.701492537311,Diesel,,,
199,ciaz,2015,11119.402985074626,Diesel,,,
200,alto 800,2017,4253.731343283582,Petrol,,,
201,ciaz,2015,10223.880597014926,Diesel,,,
202,ciaz,2015,11194.029850746268,Petrol,,,
203,ertiga,2015,9104.477611940298,Petrol,,,
204,dzire,2009,3358.208955223881,Petrol,,,
205,ertiga,2016,11567.164179104477,Diesel,,,
206,ertiga,2015,10820.89552238806,Diesel,,,
207,ertiga,2016,11567.164179104477,Diesel,,,
208,wagon r,2015,4850.746268656716,CNG,,,
209,sx4,2010,3955.223880597015,Petrol,,,
210,etios liva,2014,5895.522388059701,Diesel,,,
211,corolla altis,2011,6716.417910447762,Diesel,,,
212,corolla altis,2013,11119.402985074626,Petrol,,,
213,etios liva,2011,3955.223880597015,Petrol,,,
214,etios cross,2014,7313.432835820897,Diesel,,,
215,etios g,2015,5895.522388059701,Petrol,,,
216,corolla altis,2013,8208.955223880597,Petrol,,,
217,corolla,2004,2238.805970149254,Petrol,,,
218,corolla altis,2010,7835.820895522388,Petrol,,,
219,fortuner,2012,21641.79104477612,Diesel,,,
220,corolla altis,2016,21985.074626865673,Diesel,,,
221,etios gd,2015,7089.55223880597,Diesel,,,
222,innova,2017,34328.35820895522,Diesel,,,
223,innova,2015,18656.716417910447,Diesel,,,
224,innova,2005,5208.955223880597,Diesel,,,
225,camry,2006,3731.3432835820895,Petrol,,,
226,land cruiser,2010,52238.80597014925,Diesel,,,
227,corolla altis,2012,8805.970149253732,Petrol,,,
228,etios liva,2013,5149.253731343284,Petrol,,,
229,etios g,2014,7089.55223880597,Petrol,,,
230,corolla altis,2013,10373.134328358208,Petrol,,,
231,etios cross,2015,6716.417910447762,Petrol,,,
232,fortuner,2014,27985.074626865673,Diesel,,,
233,fortuner,2015,35074.62686567164,Diesel,,,
234,fortuner,2017,49253.73134328358,Diesel,,,
235,etios liva,2014,7089.55223880597,Diesel,,,
236,innova,2017,29477.611940298506,Petrol,,,
237,fortuner,2010,13805.970149253732,Diesel,,,
238,corolla altis,2011,6492.537313432835,Petrol,,,
239,corolla altis,2016,21268.65671641791,Petrol,,,
